SOUNDS/it/SYSTEM;0000.wav;0
SOUNDS/it/SYSTEM;0001.wav;1
SOUNDS/it/SYSTEM;0002.wav;2
SOUNDS/it/SYSTEM;0003.wav;3
SOUNDS/it/SYSTEM;0004.wav;4
SOUNDS/it/SYSTEM;0005.wav;5
SOUNDS/it/SYSTEM;0006.wav;6
SOUNDS/it/SYSTEM;0007.wav;7
SOUNDS/it/SYSTEM;0008.wav;8
SOUNDS/it/SYSTEM;0009.wav;9
SOUNDS/it/SYSTEM;0010.wav;10
SOUNDS/it/SYSTEM;0011.wav;11
SOUNDS/it/SYSTEM;0012.wav;12
SOUNDS/it/SYSTEM;0013.wav;13
SOUNDS/it/SYSTEM;0014.wav;14
SOUNDS/it/SYSTEM;0015.wav;15
SOUNDS/it/SYSTEM;0016.wav;16
SOUNDS/it/SYSTEM;0017.wav;17
SOUNDS/it/SYSTEM;0018.wav;18
SOUNDS/it/SYSTEM;0019.wav;19
SOUNDS/it/SYSTEM;0020.wav;20
SOUNDS/it/SYSTEM;0021.wav;21
SOUNDS/it/SYSTEM;0022.wav;22
SOUNDS/it/SYSTEM;0023.wav;23
SOUNDS/it/SYSTEM;0024.wav;24
SOUNDS/it/SYSTEM;0025.wav;25
SOUNDS/it/SYSTEM;0026.wav;26
SOUNDS/it/SYSTEM;0027.wav;27
SOUNDS/it/SYSTEM;0028.wav;28
SOUNDS/it/SYSTEM;0029.wav;29
SOUNDS/it/SYSTEM;0030.wav;30
SOUNDS/it/SYSTEM;0031.wav;31
SOUNDS/it/SYSTEM;0032.wav;32
SOUNDS/it/SYSTEM;0033.wav;33
SOUNDS/it/SYSTEM;0034.wav;34
SOUNDS/it/SYSTEM;0035.wav;35
SOUNDS/it/SYSTEM;0036.wav;36
SOUNDS/it/SYSTEM;0037.wav;37
SOUNDS/it/SYSTEM;0038.wav;38
SOUNDS/it/SYSTEM;0039.wav;39
SOUNDS/it/SYSTEM;0040.wav;40
SOUNDS/it/SYSTEM;0041.wav;41
SOUNDS/it/SYSTEM;0042.wav;42
SOUNDS/it/SYSTEM;0043.wav;43
SOUNDS/it/SYSTEM;0044.wav;44
SOUNDS/it/SYSTEM;0045.wav;45
SOUNDS/it/SYSTEM;0046.wav;46
SOUNDS/it/SYSTEM;0047.wav;47
SOUNDS/it/SYSTEM;0048.wav;48
SOUNDS/it/SYSTEM;0049.wav;49
SOUNDS/it/SYSTEM;0050.wav;50
SOUNDS/it/SYSTEM;0051.wav;51
SOUNDS/it/SYSTEM;0052.wav;52
SOUNDS/it/SYSTEM;0053.wav;53
SOUNDS/it/SYSTEM;0054.wav;54
SOUNDS/it/SYSTEM;0055.wav;55
SOUNDS/it/SYSTEM;0056.wav;56
SOUNDS/it/SYSTEM;0057.wav;57
SOUNDS/it/SYSTEM;0058.wav;58
SOUNDS/it/SYSTEM;0059.wav;59
SOUNDS/it/SYSTEM;0060.wav;60
SOUNDS/it/SYSTEM;0061.wav;61
SOUNDS/it/SYSTEM;0062.wav;62
SOUNDS/it/SYSTEM;0063.wav;63
SOUNDS/it/SYSTEM;0064.wav;64
SOUNDS/it/SYSTEM;0065.wav;65
SOUNDS/it/SYSTEM;0066.wav;66
SOUNDS/it/SYSTEM;0067.wav;67
SOUNDS/it/SYSTEM;0068.wav;68
SOUNDS/it/SYSTEM;0069.wav;69
SOUNDS/it/SYSTEM;0070.wav;70
SOUNDS/it/SYSTEM;0071.wav;71
SOUNDS/it/SYSTEM;0072.wav;72
SOUNDS/it/SYSTEM;0073.wav;73
SOUNDS/it/SYSTEM;0074.wav;74
SOUNDS/it/SYSTEM;0075.wav;75
SOUNDS/it/SYSTEM;0076.wav;76
SOUNDS/it/SYSTEM;0077.wav;77
SOUNDS/it/SYSTEM;0078.wav;78
SOUNDS/it/SYSTEM;0079.wav;79
SOUNDS/it/SYSTEM;0080.wav;80
SOUNDS/it/SYSTEM;0081.wav;81
SOUNDS/it/SYSTEM;0082.wav;82
SOUNDS/it/SYSTEM;0083.wav;83
SOUNDS/it/SYSTEM;0084.wav;84
SOUNDS/it/SYSTEM;0085.wav;85
SOUNDS/it/SYSTEM;0086.wav;86
SOUNDS/it/SYSTEM;0087.wav;87
SOUNDS/it/SYSTEM;0088.wav;88
SOUNDS/it/SYSTEM;0089.wav;89
SOUNDS/it/SYSTEM;0090.wav;90
SOUNDS/it/SYSTEM;0091.wav;91
SOUNDS/it/SYSTEM;0092.wav;92
SOUNDS/it/SYSTEM;0093.wav;93
SOUNDS/it/SYSTEM;0094.wav;94
SOUNDS/it/SYSTEM;0095.wav;95
SOUNDS/it/SYSTEM;0096.wav;96
SOUNDS/it/SYSTEM;0097.wav;97
SOUNDS/it/SYSTEM;0098.wav;98
SOUNDS/it/SYSTEM;0099.wav;99
SOUNDS/it/SYSTEM;0100.wav;100
SOUNDS/it/SYSTEM;0101.wav;mila
SOUNDS/it/SYSTEM;0102.wav;mille
SOUNDS/it/SYSTEM;0103.wav;virgola
SOUNDS/it/SYSTEM;0104.wav;un
SOUNDS/it/SYSTEM;0105.wav;e
SOUNDS/it/SYSTEM;0106.wav;meno
SOUNDS/it/SYSTEM;0107.wav;ora
SOUNDS/it/SYSTEM;0108.wav;ore
SOUNDS/it/SYSTEM;0109.wav;minuto
SOUNDS/it/SYSTEM;0110.wav;minuti
SOUNDS/it/SYSTEM;0111.wav;secondo
SOUNDS/it/SYSTEM;0112.wav;secondi
SOUNDS/it/SYSTEM;volt0.wav;volt
SOUNDS/it/SYSTEM;amp0.wav;ampere
SOUNDS/it/SYSTEM;mamp0.wav;milliampers
